video_id,author,comment_text,label_ultimate,reason_ultimate,published_at,like_count,label_confidence,label_category,promotion_score,education_score
R-qlSVSdea0,@ivannovianto576,ada nama judol dayak 777 heyy orang dayak nama baik lo cemar bahkan jual jadi nama judi online slots dayak 777 judol slots,judol,strong_brand:slot,11/7/25 22:54,0,0.2,weak_promotion,2,0
R-qlSVSdea0,@NallsStory,se benernya mau stop judi online gampang banget tinggal cut aja alir dana misal kalo deteksi transfer dari negara kamboja atau philipin langsung blokir aja rekening karna pda dasar bos judol ngegaji karyawan judol tu pake rekening indo e wallet gw yakin kalo arus duit macet 6 bulan aja gangguin banyak pasti web yang gak tahan karna oprasional web judol juga gak murah,judol,pattern_detected:judi,10/16/25 18:04,2,0.2,weak_promotion,2,3
R-qlSVSdea0,@alan199seven,inti kalau mau main judi jangan yang slot kalau mau main ya main kartu aja kaya poker qiu dll karna yang ada lawan masih palyer beda dengan slot yang lawan sama bandar ya kali bandar mau ngasi lu duit buat cuma,judol,strong_brand:slot,9/26/25 4:27,0,0.3,weak_promotion,3,1
R-qlSVSdea0,@TriGunawan-j2y,info website judol yang ada poker dong gak minat main slot,judol,strong_brand:slot,9/11/25 14:48,0,0.2,weak_promotion,2,0
R-qlSVSdea0,@Selamet1833,terusin takut kalah gk trus takutmenang bandar pastitau begittu habis kosong pasti luarinslot,judol,strong_brand:slot,8/23/25 22:25,0,0.3,weak_promotion,3,0
R-qlSVSdea0,@Selamet1833,bandar slot tau klau kcil dapat kcil klau gede dptnya besar,judol,strong_brand:slot,8/23/25 22:11,0,0.2,weak_promotion,2,0
R-qlSVSdea0,@Selamet1833,slot orang ragu tipu poin terachir beli tkukoson gk beli ada isi bandar tau kalau saldo habis baru dkeluarin beli banyak yg getun memang gituin,judol,strong_brand:slot,8/23/25 22:00,0,0.2,weak_promotion,2,0
R-qlSVSdea0,@Sugiarto-p4d,promosi judi slot angel,judol,strong_brand:slot,8/11/25 9:13,0,0.3,weak_promotion,3,0
R-qlSVSdea0,@deliklogikachannel1435,menang besar adalah henti judi online judi slot tipu judi online sama bandar pragmatic situs judi online yg ada promosi scam banyakam,judol,strong_brand:slot,7/28/25 6:09,0,0.7,promotion,7,0
R-qlSVSdea0,@deliklogikachannel1435,menang besar adalah henti judi online judi slot tipu judi online sama bandar pragmatic situs judi online yg ada promosi scam banyakam,judol,strong_brand:slot,7/28/25 6:09,0,0.7,promotion,7,0
R-qlSVSdea0,@SuperRezap,mesin slot analog yg rumit aja bisa se tting buat nguntungin bandar apalagi slot gital yg cuma pake 0 sama 1,judol,strong_brand:slot,7/19/25 6:35,0,0.3,weak_promotion,3,0
R-qlSVSdea0,@hadiwiyono9141,yo yg jls bisa menang kalau luck gede sistem casino 1000 orang kalah n 100 orang pasti menang 100 org itu yg cari kalau kalah trs n gak ada jackpot yo casino tinggal n akhir tutup itu realita,judol,"pattern_detected:1000,casino,casino",7/17/25 4:52,0,0.5,promotion,5,0
R-qlSVSdea0,@bss48,kunci main slot begitu dah menang lumayan gede ganti akun baru karna trik kan awal kasih menang trus bikin kalah,judol,strong_brand:slot,6/25/25 13:34,0,0.2,weak_promotion,2,0
R-qlSVSdea0,@sanjayphulsundar7757,cumamini1221 ngasih bonus 100 depan event slot lengkap event parlay banyak,judol,strong_brand:slot,5/16/25 14:23,333,0.4,promotion,4,0
R-qlSVSdea0,@pajarpramudita3104,yg untung itu se lalu bandar yg main pasti se lalu kalah makanya henti main judi lu main pasti lu kalah entah besok besok lagi jgn berfikiran utk balikin modal dr kalah yg sudah,judol,pattern_detected:judi,5/16/25 7:56,2,0.2,weak_promotion,2,0
