raw,clean,y_true,y_proba,y_pred
perlu coba daftar mbak4d2 emank bukti rekomendasi komunitas perlu di coba daftar di mbak4d2 jika emank terbukti saya rekomendasikan ke komunitas,perlu coba daftar mbak4d2 emank bukti rekomendasi komunitas perlu di coba daftar di mbak4d2 jika emank terbukti saya rekomendasikan ke komunitas,0,0.99644613,1
pertama kali daftar menang mbak4d2 terima kasih rejekinya mbak4d2 pertama kali daftar sudah menang di mbak4d2 terima kasih rejekinya mbak4d2,pertama kali daftar menang mbak4d2 terima kasih rejekinya mbak4d2 pertama kali daftar sudah menang di mbak4d2 terima kasih rejekinya mbak4d2,0,0.9937674,1
raih menang sama mbak4d2 raih kemenangan bersama mbak4d2,raih menang sama mbak4d2 raih kemenangan bersama mbak4d2,0,0.9889454,1
upload konten tarik mbak4d2 selalu exclusive warga indonesia selalu setia main upload konten menarik mbak4d2 selalu exclusive demi warga indonesia selalu setia bermain,upload konten tarik mbak4d2 selalu exclusive warga indonesia selalu setia main upload konten menarik mbak4d2 selalu exclusive demi warga indonesia selalu setia bermain,0,0.9871365,1
gue liat warung kopi 62 di kampus atmajaya gue liat warung kopi 62 ada di kampus atmajaya,gue liat warung kopi 62 di kampus atmajaya gue liat warung kopi 62 ada di kampus atmajaya,0,0.98591703,1
main menang pulang secepet main menang pulang secepet itu,main menang pulang secepet main menang pulang secepet itu,0,0.9810783,1
mbak4d2 tempat game baik tahun sudah coba mbak4d2 tempat game terbaik tahun ini sudah coba,mbak4d2 tempat game baik tahun sudah coba mbak4d2 tempat game terbaik tahun ini sudah coba,0,0.9804953,1
kalau dihitung2 capital minimarket swalayan sama gue gue cuman kasih kartu doang pinter bener kalau dihitung2 capital minimarket swalayan sama gue gue cuman dikasih kartu doang pinter bener,kalau dihitung2 capital minimarket swalayan sama gue gue cuman kasih kartu doang pinter bener kalau dihitung2 capital minimarket swalayan sama gue gue cuman dikasih kartu doang pinter bener,0,0.97236806,1
nah yang gue cari nah ini yang gue cari,nah yang gue cari nah ini yang gue cari,0,0.97132134,1
gapapa jodohin rtp penting menang gapapa di jodohin rtp yang penting menang,gapapa jodohin rtp penting menang gapapa di jodohin rtp yang penting menang,0,0.9616927,1
liat grok681h hidden gem jadi powerhouse cuma tengah tahun gila banget liat grok681h dari hidden gem jadi powerhouse cuma setengah tahun gila banget,liat grok681h hidden gem jadi powerhouse cuma tengah tahun gila banget liat grok681h dari hidden gem jadi powerhouse cuma setengah tahun gila banget,0,0.9511581,1
cara cepat atas hilang lat cara cepat mengatasi menghilangkan lemat,cara cepat atas hilang lat cara cepat mengatasi menghilangkan lemat,0,0.9452207,1
selalu lah depo minjam di laku oke selalu lah depo minjam pun di lakukan oke,selalu lah depo minjam di laku oke selalu lah depo minjam pun di lakukan oke,0,0.94473535,1
l mgharba tabate ou l jamal ou l jazayer dim tayrine m l makla l mgharba tabate ou l jamal ou l jazayer diman tayrine m l makla,l mgharba tabate ou l jamal ou l jazayer dim tayrine m l makla l mgharba tabate ou l jamal ou l jazayer diman tayrine m l makla,0,0.9358077,1
assalom alaykum qalesiz man senatroni hurmat qilaman yana senatorni yalayabdi demangu senator bu videozni yoqtirmasa keragov yana bilmadim chunki senatorni auditoryasi kattade o shanga bunaqa videolarni yoqtirmidi o yininggiz zor omad assalom alaykum qalesiz man senatroni hurmat qilaman yana senatorni yalayabdi demangu senator bu videozni yoqtirmasa keragov yana bilmadim chunki senatorni auditoryasi kattade oshanga bunaqa videolarni yoqtirmidi oyininggiz zor omad,assalom alaykum qalesiz man senatroni hurmat qilaman yana senatorni yalayabdi demangu senator bu videozni yoqtirmasa keragov yana bilmadim chunki senatorni auditoryasi kattade o shanga bunaqa videolarni yoqtirmidi o yininggiz zor omad assalom alaykum qalesiz man senatroni hurmat qilaman yana senatorni yalayabdi demangu senator bu videozni yoqtirmasa keragov yana bilmadim chunki senatorni auditoryasi kattade oshanga bunaqa videolarni yoqtirmidi oyininggiz zor omad,0,0.91920865,1
video gokil grok681h bakal ledak sesuai prediksi videonya gokil grok681h bakal ledak sesuai prediksi,video gokil grok681h bakal ledak sesuai prediksi videonya gokil grok681h bakal ledak sesuai prediksi,0,0.9033389,1
login hari ini dan klaim hadiah eksklusifmu hanya berlaku untuk hari ini di,login hari ini dan klaim hadiah eksklusifmu hanya berlaku untuk hari ini di,0,0.89561415,1
yeeeaaah jackpot jonny yeeeaaah jackpot jonny,yeeeaaah jackpot jonny yeeeaaah jackpot jonny,0,0.89045435,1
modal bacot doang asli main nya mah gak becus modal bacot doang aslii main nya mah gak becus,modal bacot doang asli main nya mah gak becus modal bacot doang aslii main nya mah gak becus,0,0.88213605,1
k o k o,k o k o,0,0.8784616,1
gila 1 n fas 4 materi sukses selalu abang gila 1 n fas 4 materi sukses selalu abangku d,gila 1 n fas 4 materi sukses selalu abang gila 1 n fas 4 materi sukses selalu abangku d,0,0.87764406,1
rtp singkat return to player tahu gue rtp adalah singkatan dari return to player setahu gue,rtp singkat return to player tahu gue rtp adalah singkatan dari return to player setahu gue,0,0.8677321,1
06 30 00 06 30 00,06 30 00 06 30 00,0,0.8452324,1
kemarin aku nonton 19jt sekarang udah 20jt aja nih hari 10x aku dengerin nih lagu bikin moodku seri kemarin aku nonton masih 19jt sekarang udah 20jt aja nih sehari bisa 10x aku dengerin nih lagu bikin moodku berseri,kemarin aku nonton 19jt sekarang udah 20jt aja nih hari 10x aku dengerin nih lagu bikin moodku seri kemarin aku nonton masih 19jt sekarang udah 20jt aja nih sehari bisa 10x aku dengerin nih lagu bikin moodku berseri,0,0.83966595,1
gila keren banget editing videonyaa niat banget kerennnn gila keren banget editing videonyaa niat banget kerennnn,gila keren banget editing videonyaa niat banget kerennnn gila keren banget editing videonyaa niat banget kerennnn,0,0.80961025,1
ting batang kuis main tandem seting batang kuis main di tandem,ting batang kuis main tandem seting batang kuis main di tandem,0,0.8076882,1
datang si botak emosi gak pernah jp ngamuk2 dan datanglah si botak emosi karena gak pernah jp ngamuk2,datang si botak emosi gak pernah jp ngamuk2 dan datanglah si botak emosi karena gak pernah jp ngamuk2,0,0.79531074,1
jangan lupa sosok mbak4d2 bukti viral beri banyak bantu rejeki indonesia jangan lupa sosok mbak4d2 sudah terbukti viral memberikan banyak bantuan rejeki di indonesia,jangan lupa sosok mbak4d2 bukti viral beri banyak bantu rejeki indonesia jangan lupa sosok mbak4d2 sudah terbukti viral memberikan banyak bantuan rejeki di indonesia,0,0.7785062,1
jp jawa ini jp jawa kah,jp jawa ini jp jawa kah,0,0.775211,1
barusan beli siomay bjirrrr jual main slottt barusan beli siomay bjirrrr jualan sambil main slottt,barusan beli siomay bjirrrr jual main slottt barusan beli siomay bjirrrr jualan sambil main slottt,0,0.77133745,1
sebentar di mualafin semua nih sebentar lagi di mualafin semua nih,sebentar di mualafin semua nih sebentar lagi di mualafin semua nih,0,0.74625856,1
al al al n n n,al al al n n n,0,0.7370411,1
bilang gak laku alam liar jarang temu jangan alam liar kios jarang di temu di bilang gak laku tapi di alam liar sudah jarang di temui jangankan di alam liar di kios pun jarang di temui,bilang gak laku alam liar jarang temu jangan alam liar kios jarang di temu di bilang gak laku tapi di alam liar sudah jarang di temui jangankan di alam liar di kios pun jarang di temui,0,0.73206085,1
