raw,clean,y_true,y_proba,y_pred
siksa bang minyu rtp aku udah like vidio siksa bang minyu rtp aku udah like vidio,siksa bang minyu rtp aku udah like vidio siksa bang minyu rtp aku udah like vidio,1,0.007211981,0
togel kalah terus kk togel kalah terus kk,togel kalah terus kk togel kalah terus kk,1,0.007696346,0
bang rtp ph 24 jam bang rtp ph 24 jam,bang rtp ph 24 jam bang rtp ph 24 jam,1,0.008590762,0
sukses bang ivan buat jackpot nya aamiin sukses ya bang ivan buat jackpot nya aamiin,sukses bang ivan buat jackpot nya aamiin sukses ya bang ivan buat jackpot nya aamiin,1,0.010688556,0
kalau konsep joki slot kayak gimana ci kalau konsep joki slot kayak gimana ci,kalau konsep joki slot kayak gimana ci kalau konsep joki slot kayak gimana ci,1,0.010967129,0
brrt mmg erik tohir yg tak betul patut d curiga jangan2 masuk exco nya suka bohong ngarang2 brrt mmg erik tohir yg tak betul patut d curigai jangan2 mereka termasuk exco nya suka berbohong dan ngarang2,brrt mmg erik tohir yg tak betul patut d curiga jangan2 masuk exco nya suka bohong ngarang2 brrt mmg erik tohir yg tak betul patut d curigai jangan2 mereka termasuk exco nya suka berbohong dan ngarang2,1,0.012531393,0
mantep bos jordy betul karna event indo ga duit 01 01 15 kerennnn nama bos ga seri nya no limit beneran bkn nama tim nya aja no limit duit kaga ada mantep bos jordy betul karna event indo ga ada duitnya 01 01 15 kerennnn ini namanya bos ga ada seri nya no limit beneran bkn nama tim nya aja no limit tapi duitnya kaga ada,mantep bos jordy betul karna event indo ga duit 01 01 15 kerennnn nama bos ga seri nya no limit beneran bkn nama tim nya aja no limit duit kaga ada mantep bos jordy betul karna event indo ga ada duitnya 01 01 15 kerennnn ini namanya bos ga ada seri nya no limit beneran bkn nama tim nya aja no limit tapi duitnya kaga ada,1,0.012818305,0
togel aja legal sana bang dgan alesan judi tak masuk akal pkonya hati2 klo sama orang pake peci celana cingkrang bang hidup sana 3 tahun udah hapal togel aja legal di sana bang dgan alesan judi tak masuk akal pkonya hati2 klo sama orang pake peci tapi celana cingkrang bang saya hidup di sana 3 tahun udah hapal,togel aja legal sana bang dgan alesan judi tak masuk akal pkonya hati2 klo sama orang pake peci celana cingkrang bang hidup sana 3 tahun udah hapal togel aja legal di sana bang dgan alesan judi tak masuk akal pkonya hati2 klo sama orang pake peci tapi celana cingkrang bang saya hidup di sana 3 tahun udah hapal,1,0.013561021,0
mending buat yg resmi seperti era pak suharto tuh jawa khusus jakarta hasil bangun judi togel dahulu mendingan buat yg resmi saja seperti era pak suharto tuh jawa khususnya jakarta hasil pembangunan judi togel dahulu,mending buat yg resmi seperti era pak suharto tuh jawa khusus jakarta hasil bangun judi togel dahulu mendingan buat yg resmi saja seperti era pak suharto tuh jawa khususnya jakarta hasil pembangunan judi togel dahulu,1,0.014160006,0
bos jor proges mx riyanto udah jadi blom dulu nanti bos jor proges mx riyanto udah jadi blom dari dulu di nanti,bos jor proges mx riyanto udah jadi blom dulu nanti bos jor proges mx riyanto udah jadi blom dari dulu di nanti,1,0.015091881,0
ajakin terus bang rtp klip bang ucup sama pak jokowi prank terus bang ajakin terus bang rtp klip bang ucup sama pak jokowi dan prank terus bang,ajakin terus bang rtp klip bang ucup sama pak jokowi prank terus bang ajakin terus bang rtp klip bang ucup sama pak jokowi dan prank terus bang,1,0.016986972,0
woi rtp suara lu kyk suisinoid woi rtp suara lu kyk suisinoid,woi rtp suara lu kyk suisinoid woi rtp suara lu kyk suisinoid,1,0.019500833,0
arwanatoto jam berapa uploadnya ketua a 66 jam berapa uploadnya ketua,arwanatoto jam berapa uploadnya ketua a 66 jam berapa uploadnya ketua,1,0.020333784,0
we all gangsta until hakari says jaccckkkpoooot we all gangsta until hakari says jaccckkkpoooot,we all gangsta until hakari says jaccckkkpoooot we all gangsta until hakari says jaccckkkpoooot,1,0.02167609,0
terus buat konten kaya gin bang sangat manfaat visi4d terus buat konten kaya gini bang sangat bermanfaat euu,terus buat konten kaya gin bang sangat manfaat visi4d terus buat konten kaya gini bang sangat bermanfaat euu,1,0.023004768,0
arwanat t siksa guys h7 e2 o 7h siksa dia guys,arwanat t siksa guys h7 e2 o 7h siksa dia guys,1,0.025063723,0
ga main judi baru menang ga main judi itu baru menang,ga main judi baru menang ga main judi itu baru menang,1,0.026402721,0
bulan apa hari abis 5 jt anjing emng maen slot gw udh bner2 tobat sebulan apanya sehari abis 5 jt anjing emng maen slot gw udh bner2 tobat,bulan apa hari abis 5 jt anjing emng maen slot gw udh bner2 tobat sebulan apanya sehari abis 5 jt anjing emng maen slot gw udh bner2 tobat,1,0.028252205,0
malam banyak ketawa lepas semua gara gara arwanatoto malam ini banyak yang ketawa lepas semua gara gara arwanatoto,malam banyak ketawa lepas semua gara gara arwanatoto malam ini banyak yang ketawa lepas semua gara gara arwanatoto,1,0.030585945,0
0 19 jackpoooooot 0 19 jackpoooooot,0 19 jackpoooooot 0 19 jackpoooooot,1,0.031154774,0
mau rtp mau apa yg nama judi online tipu alias kalian bodoh mau rtp mau apalah yg namanya judi online itu penipuan alias kalian dibodohi,mau rtp mau apa yg nama judi online tipu alias kalian bodoh mau rtp mau apalah yg namanya judi online itu penipuan alias kalian dibodohi,1,0.03528268,0
earn bitcoin by playing poker right now using the link in my profile tp qxr x q px v zt xvw x v wt x z x ux t,earn bitcoin by playing poker right now using the link in my profile tp qxr x q px v zt xvw x v wt x z x ux t,1,0.038898535,0
cinta visi4d trophy jangan lupa join kawan pecinta o jangan lupa join ya kawan,cinta visi4d trophy jangan lupa join kawan pecinta o jangan lupa join ya kawan,1,0.047071323,0
lucu kasihan rtp clip mau jodohin sama lain malah makan lucu kasihan rtp clip mau jodohin sama yang lain malah di makan,lucu kasihan rtp clip mau jodohin sama lain malah makan lucu kasihan rtp clip mau jodohin sama yang lain malah di makan,1,0.05873948,0
rtp mah gokil tiap negara event gas trs ga kata mundur rtp mah gokil di setiap negara event gas trs ga ada kata mundur,rtp mah gokil tiap negara event gas trs ga kata mundur rtp mah gokil di setiap negara event gas trs ga ada kata mundur,1,0.06156846,0
bang rtp kasi bang rtp kasian,bang rtp kasi bang rtp kasian,1,0.063813224,0
jackkkk potttttt jackkkk potttttt,jackkkk potttttt jackkkk potttttt,1,0.06562627,0
titus gacor tahi sanjing youtube gacor 77 ni anjing titus gacor tahi itu sanjing di youtube gacor 77 ni anjing,titus gacor tahi sanjing youtube gacor 77 ni anjing titus gacor tahi itu sanjing di youtube gacor 77 ni anjing,1,0.086191885,0
rtp ga mati tak pernah padam rtp ga ada matinya tak pernah padam,rtp ga mati tak pernah padam rtp ga ada matinya tak pernah padam,1,0.09814277,0
2023 rip jckpt 2023 r i p jckpt,2023 rip jckpt 2023 r i p jckpt,1,0.12269632,0
yg paling jelas trik btull iya rtp 90 95 pake turbo on rtp 80 85 pake of turbo menag cobain deh yg paling jelas dan trik btull iyalah rtp 90 95 itu pake turbo on rtp 80 85 itu pake of turbo pasti menag cobain deh,yg paling jelas trik btull iya rtp 90 95 pake turbo on rtp 80 85 pake of turbo menag cobain deh yg paling jelas dan trik btull iyalah rtp 90 95 itu pake turbo on rtp 80 85 itu pake of turbo pasti menag cobain deh,1,0.12292917,0
arwanatoto jangan kasih kendor ketua jangan kasih kendor ketua,arwanatoto jangan kasih kendor ketua jangan kasih kendor ketua,1,0.12437457,0
jackpot baby tnt jackpot baby tnt,jackpot baby tnt jackpot baby tnt,1,0.13567059,0
untuang awak main jo modal sadakah pagi 578 akun kopi rokok minyak ondah aman pitih hasil karajo untuak bini jo anak sajo ehhh pitih chiep awak sungkaan surang untuang awak main jo modal sadakah pagi 578 akun kopi rokok minyak ondah aman pitih hasil karajo untuak bini jo anak sajo ehhh pitih chiep awak sungkaan surang,untuang awak main jo modal sadakah pagi 578 akun kopi rokok minyak ondah aman pitih hasil karajo untuak bini jo anak sajo ehhh pitih chiep awak sungkaan surang untuang awak main jo modal sadakah pagi 578 akun kopi rokok minyak ondah aman pitih hasil karajo untuak bini jo anak sajo ehhh pitih chiep awak sungkaan surang,1,0.15937476,0
jackpot 11 111 jackpot 11 1 1 1,jackpot 11 111 jackpot 11 1 1 1,1,0.17311874,0
jackkkkkk pottttttttttttt 777 money jackkkkkk pottttttttttttt 777,jackkkkkk pottttttttttttt 777 money jackkkkkk pottttttttttttt 777,1,0.19135134,0
main judol slot alogaritma automatis nya jelas auto nya ting bandar bro logika bagaimana mau kontrol juta akun player personal satu per satu mungkin jp dada ajang promo bandar kasi jp per wilayah satu orang biar tarik player 1 banding 10rb jelas ktp orang yg baru daftar atas nama player memang pernah main judi mana pas main beri fase brainwashingcuci otak putar nya enak untung sedikit rugi jarang nah kalau udah kelar cuci otak kamu bakal rasain gimana alogaritma nya ubah kamu cuma dipancing2 aja akan baca cara kamu main sesuai rumus emosi kamu pendek akal kamu dll admin slot sama scamer 11 12 ilmu tipu mana duli kondisi kamu alam terakir main ssering beri kalah panjang jp yg sedikit terakir henti total penasaran ubah jadi bukti udah pernah rasain depo 38 kali kalah terus ga wd wd naik nya sdikit sekali bahkan kyk ga naik makan saya ingin bukti asli tipu ga masuk akal kata2 hoki para admin scamer dulu bet 200 bonus kalah 2000perak jadi maxwin sekarang sc bet 1000 isi zonk selalu kalah sampe 38 kali deposit udah luar nalar apa maksud harus bet besar dulu baru putar bagus naik turun bisa kalah 38x deposit karna pake bet rp1000 bawah jadi kata hoki ubah jadi ting lah gausah dendam sama admin slot malah ilmu lakar buat kalian main lagi mana tau rasa salah itu scamerpenipu main judol slot itu alogaritma automatis nya jelas ada auto nya setingan bandar bro logikanya bagaimana dia mau mengontrol jutaan akun player secara personal satu per satu kemungkinan ada jp dadakan yaitu ajang promo bandar dikasi jp per wilayah satu orang biar menarik player lain itu pun 1 banding 10rb yang jelas ktp orang yg baru mendaftar atas nama player yang memang belum pernah main judi dimanapun maka pas bermain akan diberikan fase brainwashing cuci otak putaran nya akan enak untung sedikit rugi jarang nah kalau udah kelar dicuci otak maka kamu bakal rasain gimana alogaritma nya berubah kamu cuma hanya dipancing2 aja dia akan baca cara kamu main dan menyesuaikan dengan rumus dia emosi kamu pendek akal kamu dll admin slot sama scamer itu 11 12 ilmunya menipu mana perduli kondisi kamu pengalaman saya terakir bermain saya ssering diberikan kalah yang panjang dengan jp yg sedikit terakir sebelum saya berhenti total penasaran saya berubah jadi pembuktian udah pernah rasain depo 38 kali kalah terus ga wd wd naik nya sdikit sekali bahkan kyk ga naik makannya saya ingin buktikan ini asli penipuan ga ada masuk akalnya lagi kata2 hoki dari para admin scamer itu dulu bet 200 bonus kekalahan 2000perak bisa jadi maxwin sekarang sc bet 1000 isinya zonk dan selalu kalah sampe 38 kali deposit itu udah diluar nalar apa maksudnya kenapa harus bet besar dulu baru putaran bagus naik turun kenapa bisa kalah 38x deposit karna pake bet di rp1000 kebawah jadi kata hoki itu berubah jadi setingan lah gausah dendam sama admin slot malah itu ilmu pelakaran mereka buat kalian main lagi mana tau rasa bersalah itu scamer penipu,main judol slot alogaritma automatis nya jelas auto nya ting bandar bro logika bagaimana mau kontrol juta akun player personal satu per satu mungkin jp dada ajang promo bandar kasi jp per wilayah satu orang biar tarik player 1 banding 10rb jelas ktp orang yg baru daftar atas nama player memang pernah main judi mana pas main beri fase brainwashingcuci otak putar nya enak untung sedikit rugi jarang nah kalau udah kelar cuci otak kamu bakal rasain gimana alogaritma nya ubah kamu cuma dipancing2 aja akan baca cara kamu main sesuai rumus emosi kamu pendek akal kamu dll admin slot sama scamer 11 12 ilmu tipu mana duli kondisi kamu alam terakir main ssering beri kalah panjang jp yg sedikit terakir henti total penasaran ubah jadi bukti udah pernah rasain depo 38 kali kalah terus ga wd wd naik nya sdikit sekali bahkan kyk ga naik makan saya ingin bukti asli tipu ga masuk akal kata2 hoki para admin scamer dulu bet 200 bonus kalah 2000perak jadi maxwin sekarang sc bet 1000 isi zonk selalu kalah sampe 38 kali deposit udah luar nalar apa maksud harus bet besar dulu baru putar bagus naik turun bisa kalah 38x deposit karna pake bet rp1000 bawah jadi kata hoki ubah jadi ting lah gausah dendam sama admin slot malah ilmu lakar buat kalian main lagi mana tau rasa salah itu scamerpenipu main judol slot itu alogaritma automatis nya jelas ada auto nya setingan bandar bro logikanya bagaimana dia mau mengontrol jutaan akun player secara personal satu per satu kemungkinan ada jp dadakan yaitu ajang promo bandar dikasi jp per wilayah satu orang biar menarik player lain itu pun 1 banding 10rb yang jelas ktp orang yg baru mendaftar atas nama player yang memang belum pernah main judi dimanapun maka pas bermain akan diberikan fase brainwashing cuci otak putaran nya akan enak untung sedikit rugi jarang nah kalau udah kelar dicuci otak maka kamu bakal rasain gimana alogaritma nya berubah kamu cuma hanya dipancing2 aja dia akan baca cara kamu main dan menyesuaikan dengan rumus dia emosi kamu pendek akal kamu dll admin slot sama scamer itu 11 12 ilmunya menipu mana perduli kondisi kamu pengalaman saya terakir bermain saya ssering diberikan kalah yang panjang dengan jp yg sedikit terakir sebelum saya berhenti total penasaran saya berubah jadi pembuktian udah pernah rasain depo 38 kali kalah terus ga wd wd naik nya sdikit sekali bahkan kyk ga naik makannya saya ingin buktikan ini asli penipuan ga ada masuk akalnya lagi kata2 hoki dari para admin scamer itu dulu bet 200 bonus kekalahan 2000perak bisa jadi maxwin sekarang sc bet 1000 isinya zonk dan selalu kalah sampe 38 kali deposit itu udah diluar nalar apa maksudnya kenapa harus bet besar dulu baru putaran bagus naik turun kenapa bisa kalah 38x deposit karna pake bet di rp1000 kebawah jadi kata hoki itu berubah jadi setingan lah gausah dendam sama admin slot malah itu ilmu pelakaran mereka buat kalian main lagi mana tau rasa bersalah itu scamer penipu,1,0.2400427,0
03 24 selalu tunggu bang probet 855 03 24 selalu kutunggu bang ooo,03 24 selalu tunggu bang probet 855 03 24 selalu kutunggu bang ooo,1,0.24063422,0
kasih uang jg sama pesiar88 lumayan buat nongki ngopi with teman teman besok wkwkw di kasih uang jg sama wlzphy88 lumayan buat nongki sambil ngopi with teman teman besok wkwkw,kasih uang jg sama pesiar88 lumayan buat nongki ngopi with teman teman besok wkwkw di kasih uang jg sama wlzphy88 lumayan buat nongki sambil ngopi with teman teman besok wkwkw,1,0.25398147,0
i can t win on dragonlink abudubai22 i can t win on dragonlink abudubai22,i can t win on dragonlink abudubai22 i can t win on dragonlink abudubai22,1,0.33736524,0
bukan tonton pertama tonton setia engga bakal gue skiip bau rtp mah bukan penonton pertama tetapi penonton setia engga bakalan gue skiip yang berbau rtp mah,bukan tonton pertama tonton setia engga bakal gue skiip bau rtp mah bukan penonton pertama tetapi penonton setia engga bakalan gue skiip yang berbau rtp mah,1,0.41443008,0
kok telat tau pstoto99 now aku mau lain tau pstoto99 google kok bisa telat tau acaca99 now aku mau yang lain juga tau aaa di google ada,kok telat tau pstoto99 now aku mau lain tau pstoto99 google kok bisa telat tau acaca99 now aku mau yang lain juga tau aaa di google ada,1,0.46171632,0
pagi cek hp grok681h nambah 14 4k 2 minggu pagi ini cek hp grok681h nambah 14 4k dalam 2 minggu,pagi cek hp grok681h nambah 14 4k 2 minggu pagi ini cek hp grok681h nambah 14 4k dalam 2 minggu,1,0.4710491,0
tiap hari makin banyak aja orang bahas pulauwin gue makin bingung sumpah tiap hari makin banyak aja orang bahas aa ae1t gue makin bingung sumpah,tiap hari makin banyak aja orang bahas pulauwin gue makin bingung sumpah tiap hari makin banyak aja orang bahas aa ae1t gue makin bingung sumpah,1,0.49714822,0
paling recomend ni situs berkah99 baru nyoba uda kasih maxwin bro paling recomend ni situs d berkah99d baru nyoba uda dikasih maxwin bro,paling recomend ni situs berkah99 baru nyoba uda kasih maxwin bro paling recomend ni situs d berkah99d baru nyoba uda dikasih maxwin bro,1,0.5695964,0
menang terus gacor di,menang terus gacor di,1,0.5838689,0
